date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-10-01,9.77,10.25,9.69,10.09,4554055,9.77,10.25,9.69,10.09,4554055,0.0,1.0
2020-10-02,9.39,9.78,9.3,9.38,4340484,9.39,9.78,9.3,9.38,4340484,0.0,1.0
2020-10-05,9.46,9.59,9.2502,9.44,2804969,9.46,9.59,9.2502,9.44,2804969,0.0,1.0
2020-10-06,9.13,9.835,9.1,9.56,4535421,9.13,9.835,9.1,9.56,4535421,0.0,1.0
2020-10-07,9.36,9.56,9.1678,9.23,3308644,9.36,9.56,9.1678,9.23,3308644,0.0,1.0
2020-10-08,13.49,13.64,9.19,9.54,76453557,13.49,13.64,9.19,9.54,76453557,0.0,1.0
2020-10-09,12.02,14.8,11.9,12.83,77152780,12.02,14.8,11.9,12.83,77152780,0.0,1.0
2020-10-12,11.8,12.7662,11.4,11.66,23655701,11.8,12.7662,11.4,11.66,23655701,0.0,1.0
2020-10-13,11.88,12.42,11.65,11.73,10179708,11.88,12.42,11.65,11.73,10179708,0.0,1.0
2020-10-14,12.25,12.68,12.05,12.67,10776762,12.25,12.68,12.05,12.67,10776762,0.0,1.0
2020-10-15,13.83,15.1,11.99,11.99,39894822,13.83,15.1,11.99,11.99,39894822,0.0,1.0
2020-10-16,13.31,13.9,13.08,13.77,11651578,13.31,13.9,13.08,13.77,11651578,0.0,1.0
2020-10-19,13.91,14.5,13.38,13.44,13169073,13.91,14.5,13.38,13.44,13169073,0.0,1.0
2020-10-20,13.86,14.143,13.665,14.03,6603951,13.86,14.143,13.665,14.03,6603951,0.0,1.0
2020-10-21,14.1,14.42,13.8,13.9,5361928,14.1,14.42,13.8,13.9,5361928,0.0,1.0
2020-10-22,14.91,15.87,14.19,14.2,16212232,14.91,15.87,14.19,14.2,16212232,0.0,1.0
2020-10-23,15.0,15.38,14.55,15.05,6507324,15.0,15.38,14.55,15.05,6507324,0.0,1.0
2020-10-26,13.45,15.45,13.26,14.93,13376269,13.45,15.45,13.26,14.93,13376269,0.0,1.0
2020-10-27,12.69,13.71,12.36,13.71,7231006,12.69,13.71,12.36,13.71,7231006,0.0,1.0
2020-10-28,11.82,13.05,11.78,12.27,6388580,11.82,13.05,11.78,12.27,6388580,0.0,1.0
2020-10-29,11.73,12.25,11.6801,11.88,4165843,11.73,12.25,11.6801,11.88,4165843,0.0,1.0
2020-10-30,10.47,11.64,10.36,11.64,11562367,10.47,11.64,10.36,11.64,11562367,0.0,1.0
2020-11-02,10.75,11.09,10.5,10.82,5227011,10.75,11.09,10.5,10.82,5227011,0.0,1.0
2020-11-03,11.57,11.86,10.63,10.75,7454472,11.57,11.86,10.63,10.75,7454472,0.0,1.0
2020-11-04,10.91,11.7699,10.61,11.76,5807871,10.91,11.7699,10.61,11.76,5807871,0.0,1.0
2020-11-05,11.45,11.84,11.06,11.27,4705245,11.45,11.84,11.06,11.27,4705245,0.0,1.0
2020-11-06,11.86,12.17,11.32,11.52,5518243,11.86,12.17,11.32,11.52,5518243,0.0,1.0
2020-11-09,11.49,12.93,11.25,12.76,6244865,11.49,12.93,11.25,12.76,6244865,0.0,1.0
2020-11-10,11.1,11.66,10.83,11.5,3825963,11.1,11.66,10.83,11.5,3825963,0.0,1.0
2020-11-11,11.75,11.95,11.21,11.5,4882569,11.75,11.95,11.21,11.5,4882569,0.0,1.0
2020-11-12,11.13,11.87,10.97,11.74,4355892,11.13,11.87,10.97,11.74,4355892,0.0,1.0
2020-11-13,11.01,11.55,11.0,11.36,3546171,11.01,11.55,11.0,11.36,3546171,0.0,1.0
2020-11-16,12.06,12.6602,10.72,11.16,9774824,12.06,12.6602,10.72,11.16,9774824,0.0,1.0
2020-11-17,11.63,11.92,11.23,11.65,6678176,11.63,11.92,11.23,11.65,6678176,0.0,1.0
2020-11-18,11.57,12.04,11.56,11.8,3169222,11.57,12.04,11.56,11.8,3169222,0.0,1.0
2020-11-19,12.46,12.79,11.45,11.6,11787613,12.46,12.79,11.45,11.6,11787613,0.0,1.0
2020-11-20,12.71,13.46,12.54,12.55,8402347,12.71,13.46,12.54,12.55,8402347,0.0,1.0
2020-11-23,13.9,14.12,12.67,12.9,9607973,13.9,14.12,12.67,12.9,9607973,0.0,1.0
2020-11-24,13.67,14.26,13.3,14.23,7130536,13.67,14.26,13.3,14.23,7130536,0.0,1.0
2020-11-25,14.75,15.25,13.42,13.6,8860092,14.75,15.25,13.42,13.6,8860092,0.0,1.0
2020-11-27,16.08,16.74,14.88,15.29,12504197,16.08,16.74,14.88,15.29,12504197,0.0,1.0
2020-11-30,16.56,19.42,16.5575,18.17,31983498,16.56,19.42,16.5575,18.17,31983498,0.0,1.0
2020-12-01,15.8,17.4,15.76,17.11,12260810,15.8,17.4,15.76,17.11,12260810,0.0,1.0
2020-12-02,16.58,16.68,15.38,15.7,7883380,16.58,16.68,15.38,15.7,7883380,0.0,1.0
2020-12-03,16.12,16.64,15.87,16.48,6294965,16.12,16.64,15.87,16.48,6294965,0.0,1.0
2020-12-04,16.9,17.29,16.26,16.3,8972672,16.9,17.29,16.26,16.3,8972672,0.0,1.0
2020-12-07,16.35,17.5,16.22,17.0,7386258,16.35,17.5,16.22,17.0,7386258,0.0,1.0
2020-12-08,16.94,17.21,15.93,16.37,16120163,16.94,17.21,15.93,16.37,16120163,0.0,1.0
2020-12-09,13.66,14.73,13.225,13.92,24357944,13.66,14.73,13.225,13.92,24357944,0.0,1.0
2020-12-10,14.12,14.41,13.05,13.12,7558922,14.12,14.41,13.05,13.12,7558922,0.0,1.0
2020-12-11,13.31,14.0,13.02,13.91,7496868,13.31,14.0,13.02,13.91,7496868,0.0,1.0
2020-12-14,12.72,13.4335,12.14,13.34,10007092,12.72,13.4335,12.14,13.34,10007092,0.0,1.0
2020-12-15,13.85,14.02,12.48,12.78,8192856,13.85,14.02,12.48,12.78,8192856,0.0,1.0
2020-12-16,13.85,14.305,13.58,13.96,5865123,13.85,14.305,13.58,13.96,5865123,0.0,1.0
2020-12-17,14.83,14.98,13.59,13.96,8194902,14.83,14.98,13.59,13.96,8194902,0.0,1.0
2020-12-18,15.63,16.3,15.18,15.78,16618776,15.63,16.3,15.18,15.78,16618776,0.0,1.0
2020-12-21,15.53,16.348,15.28,15.81,9876128,15.53,16.348,15.28,15.81,9876128,0.0,1.0
